"specimen","age","stdev_age","num_amtl","sockets"
"AMNH99.1/77",45.2,12.6,4,31
"AMNH99.1/87",45.2,12.6,8,29
"BRK125660",51.5,12.6,5,31
"MH22280",37.603459,13.4013855,0,16
"MH22278",38.8182459,13.9148037,0,16
"MH22281",40.6404262,14.6850608,0,16
"AMNH99.1/160",55,15,5,13
"AMNH99.1/90",55,15,12,30
"MH24934C",55,15,14,16
"NMNH225032",55,15,12,14
"NMNH226092",55,15,14,16
"NMNH278705",55,15,28,32
"NMNH283607",55,15,28,28
"MH12328",35.9751277,15.6187914,0,15
"MH12318",37.551766,16.4384771,0,16
"NMNH225025",37.551766,16.4384771,0,16
"NMNH225028",38.3400851,16.8483619,0,16
"MH1702",46.1069672,16.9965704,11,32
"MH22283",46.1069672,16.9965704,0,16
"MH12324",39.1284043,17.258272,3,31
"MH12320",40.7050426,18.0781611,0,32
"MH12316",47.0491348,18.8440476,2,32
"MH8057",53.3956885,20.0797763,0,32
"MH24894",58.6886885,20.3446194,0,14
"NMNH225029",47.0115957,21.3584428,0,16
"MH12326",50.1648723,22.9989102,6,16
"MH12319",51.7415106,23.8192059,0,16
"MH12322",59.6247021,27.9211585,1,16
"MH12321",71.2242553,31.4169538,0,16
